1	2	2
153	25.8752e-30
173.05	65.38	21.76
40.078	65.38	21.76
1.02	0.6	0.76
1	0.6	0.76
5.05
5.07
48.8
44
0.0000001, 1.341862691798996
0.2504523656899895, 0.8671018573364391
0.4972225152343781, 0.9358776705804077
0.7476635210684754, 1.1380181919977934
0.9997306091317013, 1.6273520987333767
